,Track Number,Track Title,Album Name,Year Released,Lyric
50,1,Woman,Planet Her,2021,b'They wanna see us end up like we Regina on \n'
51,1,Woman,Planet Her,2021,"b'Princess or queen, tomboy or king (Yeah)\n'"
52,1,Woman,Planet Her,2021,"b""You've heard a lot, you've never seen (Nah)\n"""
53,1,Woman,Planet Her,2021,"b'Mother Earth, Mother Mary rise to the top\n'"
54,1,Woman,Planet Her,2021,"b""Divine feminine, I'm feminine (Why?)\n"""
55,1,Woman,Planet Her,2021,"b""Divine feminine, I'm feminine (Why?)\n"""
56,1,Woman,Planet Her,2021,b'You might also like\n'
57,1,Woman,Planet Her,2021,b'Woman (Daddy)\n'
58,1,Woman,Planet Her,2021,b'Let me be your woman (Let me be your\xe2\x80\x94)\n'
59,1,Woman,Planet Her,2021,"b'Woman, woman, woman (Let me be your\xe2\x80\x94)\n'"
60,1,Woman,Planet Her,2021,b'I can be your woman\n'
61,1,Woman,Planet Her,2021,"b'Woman, woman, woman (Daddy)\n'"
62,1,Woman,Planet Her,2021,b'Let me be your woman (I know)\n'
63,1,Woman,Planet Her,2021,"b'Woman, woman, woman (Daddy)\n'"
64,1,Woman,Planet Her,2021,b'I can be your woman (I know)\n'
65,1,Woman,Planet Her,2021,"b'Woman, woman, woman\n'"
66,1,Woman,Planet Her,2021,"b'Eee, eee, eee\n'"
67,1,Woman,Planet Her,2021,"b'Eee, eee, eee\n'"
68,1,Woman,Planet Her,2021,b'Hey\n'
69,1,Woman,Planet Her,2021,"b'Mm-hmm, mm-hmm'"
0,2,Naked,Planet Her,2021,"b""Baby, you're so anxious\n"""
1,2,Naked,Planet Her,2021,"b""You can't take it\n"""
2,2,Naked,Planet Her,2021,b'Can we take this off and get naked?\n'
3,2,Naked,Planet Her,2021,b'Can we take this off and get naked?\n'
4,2,Naked,Planet Her,2021,b'Can we take this off and get nake\xe2\x80\x94?\n'
5,2,Naked,Planet Her,2021,"b""Baby, you're so anxious\n"""
6,2,Naked,Planet Her,2021,"b""You can't take it\n"""
7,2,Naked,Planet Her,2021,b'Can we take this off and get naked?\n'
8,2,Naked,Planet Her,2021,b'Can we take this off and get naked?\n'
9,2,Naked,Planet Her,2021,b'Can we take this off and get naked? Ah\n'
10,2,Naked,Planet Her,2021,"b""I don't think 'bout anybody\n"""
11,2,Naked,Planet Her,2021,"b""But bein' beside your body, baby (La-la-la-la-la, la, la-la-la, la-la-la-la-la-la-la)\n"""
12,2,Naked,Planet Her,2021,b'You can leave open windows\n'
13,2,Naked,Planet Her,2021,"b""Don't care who see me out my clothes, baby\n"""
14,2,Naked,Planet Her,2021,"b'Yeah, I like bananas and peaches\n'"
15,2,Naked,Planet Her,2021,"b""And some might say it's indecent\n"""
16,2,Naked,Planet Her,2021,"b""That's just crazy (That's just crazy)\n"""
17,2,Naked,Planet Her,2021,b'Can I slide outta mine and into yours?\n'
18,2,Naked,Planet Her,2021,"b""Heels on, waitin' at your door\n"""
19,2,Naked,Planet Her,2021,"b""I don't wanna play no more\n"""
20,2,Naked,Planet Her,2021,b'Leave everything on the floor\n'
21,2,Naked,Planet Her,2021,"b""You don't need a pole to see me strip\n"""
22,2,Naked,Planet Her,2021,b'Only thing I want zipped is your lips\n'
23,2,Naked,Planet Her,2021,"b'Take it to the top, boy, skinny dip\n'"
24,2,Naked,Planet Her,2021,"b'(So hot, your body on mine, your body on)\n'"
25,2,Naked,Planet Her,2021,"b""I don't even wanna get a grip\n"""
26,2,Naked,Planet Her,2021,b'I just like it when you grab my hips\n'
27,2,Naked,Planet Her,2021,b'Can you feel it through your fingertips? (How do I?)\n'
28,2,Naked,Planet Her,2021,b'How do I keep this on?\n'
29,2,Naked,Planet Her,2021,b'How do I let you know?\n'
30,2,Naked,Planet Her,2021,"b'Boy, you deserve a show\n'"
31,2,Naked,Planet Her,2021,b'Deserve to get comfortable\n'
32,2,Naked,Planet Her,2021,"b""It's only natural\n"""
33,2,Naked,Planet Her,2021,b'I could tell when you locked the door\n'
34,2,Naked,Planet Her,2021,b'Just what was going on\n'
35,2,Naked,Planet Her,2021,"b'Boy, can we take off all our clothes?\n'"
36,2,Naked,Planet Her,2021,b'When can we take off all our clothes?\n'
37,2,Naked,Planet Her,2021,b'When can we take off all our clothes? (When? Oh whoa)\n'
38,2,Naked,Planet Her,2021,b'When can we take off all our clothes?\n'
39,2,Naked,Planet Her,2021,b'You might also like\n'
40,2,Naked,Planet Her,2021,"b""Baby, you're so anxious\n"""
41,2,Naked,Planet Her,2021,"b""You can't take it\n"""
42,2,Naked,Planet Her,2021,b'Can we take this off and get naked?\n'
43,2,Naked,Planet Her,2021,b'Can we take this off and get naked?\n'
44,2,Naked,Planet Her,2021,b'Can we take this off and get nake\xe2\x80\x94?\n'
45,2,Naked,Planet Her,2021,"b""Baby, you're so anxious\n"""
46,2,Naked,Planet Her,2021,"b""You can't take it\n"""
47,2,Naked,Planet Her,2021,b'Can we take this off and get naked?\n'
48,2,Naked,Planet Her,2021,b'Can we take this off and get naked?\n'
49,2,Naked,Planet Her,2021,b'Can we take this off and get naked? Ah\n'
50,2,Naked,Planet Her,2021,"b""Follow me to my dressin' room\n"""
51,2,Naked,Planet Her,2021,"b""Let me know if you ain't 'bout that NSFW\n"""
52,2,Naked,Planet Her,2021,"b""Now it's safe to finish what we started\n"""
53,2,Naked,Planet Her,2021,"b""Now it's safe to finish what we started\n"""
54,2,Naked,Planet Her,2021,b'First impression of you is you really like to party\n'
55,2,Naked,Planet Her,2021,"b""Swirlin' all up on you 'cause you know I wanna dance\n"""
56,2,Naked,Planet Her,2021,b'Let me cordially invite you to this party in my pants\n'
57,2,Naked,Planet Her,2021,"b""How you got me sprung and don't say sorry in advance?\n"""
58,2,Naked,Planet Her,2021,"b""Show me all your tatts, not just the ones that's on your hands\n"""
59,2,Naked,Planet Her,2021,"b""Who's your designer?Is that birthday suit one of a kind, uh?\n"""
60,2,Naked,Planet Her,2021,"b'Is that birthday suit one of a kind, uh?\n'"
61,2,Naked,Planet Her,2021,"b""Everything about you look like it's on purpose\n"""
62,2,Naked,Planet Her,2021,"b""God was workin', probably took some extra time though\n"""
63,2,Naked,Planet Her,2021,"b'Ayy, all up in my curves like a puzzle piece, mmm\n'"
64,2,Naked,Planet Her,2021,"b'Jigsaw, let me see your muscleses, mmm\n'"
65,2,Naked,Planet Her,2021,"b'Jigsaw, let me see your muscleses, mmm\n'"
66,2,Naked,Planet Her,2021,"b""After we fuck, I'ma wanna cuddle\n"""
67,2,Naked,Planet Her,2021,b'We could take it to the kitchen\n'
68,2,Naked,Planet Her,2021,"b""I'll be on the island, come and eat, mmm\n"""
69,2,Naked,Planet Her,2021,"b""I'll be on the island, come and eat, mmm\n"""
70,2,Naked,Planet Her,2021,b'How do I keep this on?\n'
71,2,Naked,Planet Her,2021,b'How do I let you know?\n'
72,2,Naked,Planet Her,2021,"b'Boy, you deserve a show\n'"
73,2,Naked,Planet Her,2021,b'Deserve to get comfortable\n'
74,2,Naked,Planet Her,2021,"b""It's only natural\n"""
75,2,Naked,Planet Her,2021,b'I could tell when you locked the door\n'
76,2,Naked,Planet Her,2021,b'Just what was going on\n'
77,2,Naked,Planet Her,2021,"b'Boy, can we take off all our clothes?\n'"
78,2,Naked,Planet Her,2021,"b""(Anxious, you can't take it)\n"""
79,2,Naked,Planet Her,2021,b'(Can we take this off and get naked?)\n'
80,2,Naked,Planet Her,2021,b'When can we take off all our clothes?\n'
81,2,Naked,Planet Her,2021,b'(Can we take this off and get naked?)\n'
82,2,Naked,Planet Her,2021,b'(Can we take this off and get naked?)\n'
83,2,Naked,Planet Her,2021,"b'When can we take off all our clothes? (When? Oh, whoa)\n'"
84,2,Naked,Planet Her,2021,"b""(Feelin' so anxious, can't take it)\n"""
85,2,Naked,Planet Her,2021,b'(Can we take this off and get naked?)\n'
86,2,Naked,Planet Her,2021,b'When can we take off all our clothes?\n'
87,2,Naked,Planet Her,2021,b'(Can we take this off and get naked?)\n'
88,2,Naked,Planet Her,2021,b'(Can we take this off and get naked? Ah)\n'
89,2,Naked,Planet Her,2021,"b'Touch, touch my body\n'"
90,2,Naked,Planet Her,2021,"b'Just touch, touch my body\n'"
91,2,Naked,Planet Her,2021,b'Just touch me\n'
92,2,Naked,Planet Her,2021,"b'Ayy, touch my body, just\n'"
93,2,Naked,Planet Her,2021,"b'(Touch me, touch me)\n'"
94,2,Naked,Planet Her,2021,"b'Yeah, touch, touch my body\n'"
95,2,Naked,Planet Her,2021,"b'Just touch, touch my body\n'"
96,2,Naked,Planet Her,2021,b'Just touch me\n'
97,2,Naked,Planet Her,2021,"b'Uh, touch my body, yeah\n'"
98,2,Naked,Planet Her,2021,"b'Touch me, baby\n'"
99,2,Naked,Planet Her,2021,"b'(Touch, touch my body)\n'"
100,2,Naked,Planet Her,2021,"b'(Just touch me, touch me, baby, yeah)\n'"
101,2,Naked,Planet Her,2021,"b'(Touch you, touch my body, just)\n'"
0,3,Payday (Ft. Young Thug),Planet Her,2021,b'All this money on me (Me)\n'
1,3,Payday (Ft. Young Thug),Planet Her,2021,"b""It don't mean no thing (Thing)\n"""
2,3,Payday (Ft. Young Thug),Planet Her,2021,"b'See it in your dreams\xe2\x80\x85while\xe2\x80\x85I spend it\xe2\x80\x85all on my team, and we\xe2\x80\x85go\n'"
3,3,Payday (Ft. Young Thug),Planet Her,2021,"b'Oh yeah, yeah, yeah\n'"
4,3,Payday (Ft. Young Thug),Planet Her,2021,"b""Gettin' \n"""
5,3,Payday (Ft. Young Thug),Planet Her,2021,"b""We was gettin' by\xe2\x81\x9f(By)\n"""
6,3,Payday (Ft. Young Thug),Planet Her,2021,"b""Savin'\xe2\x81\x9fon\xe2\x81\x9fthe side (Side)\n"""
7,3,Payday (Ft. Young Thug),Planet Her,2021,"b""I\xe2\x81\x9fjust can't believe\n"""
8,3,Payday (Ft. Young Thug),Planet Her,2021,"b'\xe2\x81\x9fI got what I wanted all my life, now we go\n'"
9,3,Payday (Ft. Young Thug),Planet Her,2021,"b'Oh yeah, yeah, yeah\n'"
10,3,Payday (Ft. Young Thug),Planet Her,2021,"b""Gettin' paid e'yday, yeah\n"""
11,3,Payday (Ft. Young Thug),Planet Her,2021,b'Said everything that I want (Yeah)\n'
12,3,Payday (Ft. Young Thug),Planet Her,2021,"b""I don't need it, I got it already\n"""
13,3,Payday (Ft. Young Thug),Planet Her,2021,"b'Tell me what you want, uh\n'"
14,3,Payday (Ft. Young Thug),Planet Her,2021,"b'Point to it, I got you, baby, get it, uh\n'"
15,3,Payday (Ft. Young Thug),Planet Her,2021,"b""I just keep drippin' like a fuckin' mermaid, yeah\n"""
16,3,Payday (Ft. Young Thug),Planet Her,2021,"b'And drop a band to keep the smile on that face, yeah\n'"
17,3,Payday (Ft. Young Thug),Planet Her,2021,"b""And I'm bilingual, talkin' money conversations\n"""
18,3,Payday (Ft. Young Thug),Planet Her,2021,"b'And, baby, we are not the same, make no mistakes, yeah (Make no mistakes)\n'"
19,3,Payday (Ft. Young Thug),Planet Her,2021,b'You gotta face it (You gotta face)\n'
20,3,Payday (Ft. Young Thug),Planet Her,2021,"b""'Cause it just keep addin' up and they run it up\n"""
21,3,Payday (Ft. Young Thug),Planet Her,2021,"b'And then add it up, and they run it, run it\n'"
22,3,Payday (Ft. Young Thug),Planet Her,2021,b'All this money on me (Me)\n'
23,3,Payday (Ft. Young Thug),Planet Her,2021,"b""It don't mean no thing (Thing)\n"""
24,3,Payday (Ft. Young Thug),Planet Her,2021,"b'See it in your dreams while I spend it all on my team, and we go\n'"
25,3,Payday (Ft. Young Thug),Planet Her,2021,"b'Oh yeah, yeah, yeah\n'"
26,3,Payday (Ft. Young Thug),Planet Her,2021,"b""Gettin' paid e'yday, yeah\n"""
27,3,Payday (Ft. Young Thug),Planet Her,2021,"b""We was gettin' by (By)\n"""
28,3,Payday (Ft. Young Thug),Planet Her,2021,"b""Savin' on the side (Side)\n"""
29,3,Payday (Ft. Young Thug),Planet Her,2021,"b""I just can't believe I got what I wanted all my life, now we go\n"""
30,3,Payday (Ft. Young Thug),Planet Her,2021,"b'Oh yeah, yeah, yeah\n'"
31,3,Payday (Ft. Young Thug),Planet Her,2021,"b""Gettin' paid e'yday, yeah\n"""
32,3,Payday (Ft. Young Thug),Planet Her,2021,b'You might also like\n'
33,3,Payday (Ft. Young Thug),Planet Her,2021,"b""I be waitin' outside, I be waitin' outside\n"""
34,3,Payday (Ft. Young Thug),Planet Her,2021,"b""I don't care 'bout vibes, baby, set that shit aside\n"""
35,3,Payday (Ft. Young Thug),Planet Her,2021,"b""All your mama physics, tell me you gon' blossom right (\n"""
36,3,Payday (Ft. Young Thug),Planet Her,2021,"b""And your daddy gotta fuck, jumpin' on, ready to ride (Skrrt)\n"""
37,3,Payday (Ft. Young Thug),Planet Her,2021,"b""I just wanted to love you, baby, tell me what you needin'\n"""
38,3,Payday (Ft. Young Thug),Planet Her,2021,"b""I don't fuck with rascals for a reason (For a reason)\n"""
39,3,Payday (Ft. Young Thug),Planet Her,2021,"b'I done dropped your problem down, yeah, I see that (\n'"
40,3,Payday (Ft. Young Thug),Planet Her,2021,"b""Bring my fuckin' mistress 'fore I swing it like Serena\n"""
41,3,Payday (Ft. Young Thug),Planet Her,2021,"b""And I know you feel my vibe, I'ma love you 'til we die\n"""
42,3,Payday (Ft. Young Thug),Planet Her,2021,"b""Patek on my wrist, okay, it must be perfect timin'\n"""
43,3,Payday (Ft. Young Thug),Planet Her,2021,"b'She like, ""Yeah, yeah, yeah\n'"
44,3,Payday (Ft. Young Thug),Planet Her,2021,"b'Yeah, yeah, yeah-yeah-yeah""\n'"
45,3,Payday (Ft. Young Thug),Planet Her,2021,"b""I wan' see, baby, let me see (Woah)\n"""
46,3,Payday (Ft. Young Thug),Planet Her,2021,"b""Hope you wanna fuck 'cause my money long like limousine\n"""
47,3,Payday (Ft. Young Thug),Planet Her,2021,"b'Yeah, yeah, yeah, yeah-yeah-yeah, yeah (\n'"
48,3,Payday (Ft. Young Thug),Planet Her,2021,"b""And I'm bilingual, talkin' money conversations\n"""
49,3,Payday (Ft. Young Thug),Planet Her,2021,"b'And, baby, we are not the same, make no mistakes, yeah (Make no mistakes)\n'"
50,3,Payday (Ft. Young Thug),Planet Her,2021,b'You gotta face it (You gotta face)\n'
51,3,Payday (Ft. Young Thug),Planet Her,2021,"b""'Cause it just keep addin' up and they run it up\n"""
52,3,Payday (Ft. Young Thug),Planet Her,2021,"b'And then add it up, and they run it, run it\n'"
53,3,Payday (Ft. Young Thug),Planet Her,2021,b'All this money on me (Me)\n'
54,3,Payday (Ft. Young Thug),Planet Her,2021,"b""It don't mean no thing (Thing)\n"""
55,3,Payday (Ft. Young Thug),Planet Her,2021,"b'See it in your dreams while I spend it all on my team, and we go\n'"
56,3,Payday (Ft. Young Thug),Planet Her,2021,"b'Oh yeah, yeah, yeah\n'"
57,3,Payday (Ft. Young Thug),Planet Her,2021,"b""Gettin' paid e'yday, yeah\n"""
58,3,Payday (Ft. Young Thug),Planet Her,2021,"b""We was gettin' by (By)\n"""
59,3,Payday (Ft. Young Thug),Planet Her,2021,"b""Savin' on the side (Side)\n"""
60,3,Payday (Ft. Young Thug),Planet Her,2021,"b""I just can't believe I got what I wanted all my life, now we go\n"""
61,3,Payday (Ft. Young Thug),Planet Her,2021,"b'Oh yeah, yeah, yeah\n'"
62,3,Payday (Ft. Young Thug),Planet Her,2021,"b""Gettin' paid e'yday, yeah\n"""
63,3,Payday (Ft. Young Thug),Planet Her,2021,b'All this money on me (Me)\n'
64,3,Payday (Ft. Young Thug),Planet Her,2021,"b""It don't mean no thing (Thing)\n"""
65,3,Payday (Ft. Young Thug),Planet Her,2021,"b'See it in your dreams while I spend it all on my team, and we go\n'"
66,3,Payday (Ft. Young Thug),Planet Her,2021,"b'Oh yeah, yeah, yeah\n'"
67,3,Payday (Ft. Young Thug),Planet Her,2021,"b""Gettin' paid e'yday, yeah\n"""
68,3,Payday (Ft. Young Thug),Planet Her,2021,"b""We was gettin' by (By)\n"""
69,3,Payday (Ft. Young Thug),Planet Her,2021,"b""Savin' on the side (Side)\n"""
70,3,Payday (Ft. Young Thug),Planet Her,2021,"b""I just can't believe I got what I wanted all my life, now we go\n"""
71,3,Payday (Ft. Young Thug),Planet Her,2021,"b'Oh yeah, yeah, yeah\n'"
72,3,Payday (Ft. Young Thug),Planet Her,2021,"b""Gettin' paid e'yday, yeah\n"""
0,4,Get Into It (Yuh),Planet Her,2021,"b'Yeah, ayy\n'"
1,4,Get Into It (Yuh),Planet Her,2021,"b'Ha, ayy, yeah\n'"
2,4,Get Into It (Yuh),Planet Her,2021,"b'They say I just got a buck, uh\n'"
3,4,Get Into It (Yuh),Planet Her,2021,"b'Get into it, yuh\n'"
4,4,Get Into It (Yuh),Planet Her,2021,"b'Pop out with a truck, ha\n'"
5,4,Get Into It (Yuh),Planet Her,2021,"b'Get into it, yuh (Yuh)\n'"
6,4,Get Into It (Yuh),Planet Her,2021,b'If you go to church\n'
7,4,Get Into It (Yuh),Planet Her,2021,"b'I said get into it,\xe2\x81\x9fyuh\n'"
8,4,Get Into It (Yuh),Planet Her,2021,"b""If\xe2\x81\x9fshe\xe2\x81\x9fain't got a\xe2\x81\x9fbutt\n"""
9,4,Get Into It (Yuh),Planet Her,2021,"b'Nah, fuck it,\xe2\x81\x9fget into it, yuh\n'"
10,4,Get Into It (Yuh),Planet Her,2021,b'And I say I just got a buck\n'
11,4,Get Into It (Yuh),Planet Her,2021,"b'Get into it, yuh\n'"
12,4,Get Into It (Yuh),Planet Her,2021,b'Pop out with a truck\n'
13,4,Get Into It (Yuh),Planet Her,2021,"b'Get into it, yuh\n'"
14,4,Get Into It (Yuh),Planet Her,2021,b'If you go to church\n'
15,4,Get Into It (Yuh),Planet Her,2021,"b'Get into it, yuh\n'"
16,4,Get Into It (Yuh),Planet Her,2021,"b""If she ain't got a butt\n"""
17,4,Get Into It (Yuh),Planet Her,2021,"b'Fuck it, get into it, yuh\n'"
18,4,Get Into It (Yuh),Planet Her,2021,"b'Yeah, you just wanna party, you just wanna lap dance\n'"
19,4,Get Into It (Yuh),Planet Her,2021,"b""You just wanna pop up on these clowns like you're the Batman\n"""
20,4,Get Into It (Yuh),Planet Her,2021,b'You just wanna ball out in designer with your best friends\n'
21,4,Get Into It (Yuh),Planet Her,2021,"b""You don't wanna talk no more about it in the past tense\n"""
22,4,Get Into It (Yuh),Planet Her,2021,"b""Get me out my zone, I'm just talkin' comfort, shawty\n"""
23,4,Get Into It (Yuh),Planet Her,2021,"b""I ain't give you nothin' you could come for, shawty\n"""
24,4,Get Into It (Yuh),Planet Her,2021,"b'I got plenty things you make a run for, shawty\n'"
25,4,Get Into It (Yuh),Planet Her,2021,"b'Call him Ed Sheeran, he in love with my body\n'"
26,4,Get Into It (Yuh),Planet Her,2021,"b'They say I just got a buck, uh\n'"
27,4,Get Into It (Yuh),Planet Her,2021,"b'Get into it, yuh\n'"
28,4,Get Into It (Yuh),Planet Her,2021,"b'Pop out with a truck, ha\n'"
29,4,Get Into It (Yuh),Planet Her,2021,"b'Get into it, yuh (Yuh)\n'"
30,4,Get Into It (Yuh),Planet Her,2021,b'If you go to church\n'
31,4,Get Into It (Yuh),Planet Her,2021,"b'I said get into it, yuh\n'"
32,4,Get Into It (Yuh),Planet Her,2021,"b""If she ain't got a butt\n"""
33,4,Get Into It (Yuh),Planet Her,2021,"b'Nah, fuck it, g\xd0\xb5t into it, yuh\n'"
34,4,Get Into It (Yuh),Planet Her,2021,b'And I say I just got a buck\n'
35,4,Get Into It (Yuh),Planet Her,2021,"b'Get into it, yuh\n'"
36,4,Get Into It (Yuh),Planet Her,2021,b'Pop out with a truck\n'
37,4,Get Into It (Yuh),Planet Her,2021,"b'Get into it, yuh\n'"
38,4,Get Into It (Yuh),Planet Her,2021,b'If you go to church\n'
39,4,Get Into It (Yuh),Planet Her,2021,"b'Get into it, yuh\n'"
40,4,Get Into It (Yuh),Planet Her,2021,"b""If sh\xd0\xb5 ain't got a butt\n"""
41,4,Get Into It (Yuh),Planet Her,2021,"b'Fuck it, get into it, yuh\n'"
42,4,Get Into It (Yuh),Planet Her,2021,b'You might also like\n'
43,4,Get Into It (Yuh),Planet Her,2021,"b""Y'all need to get into the drip like a piranha\n"""
44,4,Get Into It (Yuh),Planet Her,2021,"b""Y'all need to get into my drip like y'all need water\n"""
45,4,Get Into It (Yuh),Planet Her,2021,"b""Y'all need to get into my drip like y'all need water\n"""
46,4,Get Into It (Yuh),Planet Her,2021,"b""I mean, it's only head to toe Balenciaga\n"""
47,4,Get Into It (Yuh),Planet Her,2021,"b'I mean, y\'all bitches better ""yuh"" like Ariana\n'"
48,4,Get Into It (Yuh),Planet Her,2021,"b'If they ever tryna knock her, put my foot up in your caca\n'"
49,4,Get Into It (Yuh),Planet Her,2021,"b""Call your mama and your papa like I'm finna take your daughter\n"""
50,4,Get Into It (Yuh),Planet Her,2021,"b'Turn that bitch into a soccer ball and rocka, rocka, rocka (Brrr)\n'"
51,4,Get Into It (Yuh),Planet Her,2021,b'Get into it like a suit and fuck a stock up like a broker\n'
52,4,Get Into It (Yuh),Planet Her,2021,b'They say I just got a buck (Yuh)\n'
53,4,Get Into It (Yuh),Planet Her,2021,"b'Get into it, yuh (Ayy)\n'"
54,4,Get Into It (Yuh),Planet Her,2021,"b'Pop out with a truck, ha\n'"
55,4,Get Into It (Yuh),Planet Her,2021,"b'Get into it, yuh (Pop out, pop out)\n'"
56,4,Get Into It (Yuh),Planet Her,2021,b'If you go to church\n'
57,4,Get Into It (Yuh),Planet Her,2021,"b'I said get into it, yuh\n'"
58,4,Get Into It (Yuh),Planet Her,2021,"b""If she ain't got a butt\n"""
59,4,Get Into It (Yuh),Planet Her,2021,"b'Nah, fuck it, get into it, yuh\n'"
60,4,Get Into It (Yuh),Planet Her,2021,b'And I say I just got a buck (Ayy)\n'
61,4,Get Into It (Yuh),Planet Her,2021,"b'Get into it, yuh\n'"
62,4,Get Into It (Yuh),Planet Her,2021,b'Pop out with a truck\n'
63,4,Get Into It (Yuh),Planet Her,2021,"b'Get into it, yuh (Yeah)\n'"
64,4,Get Into It (Yuh),Planet Her,2021,b'If you go to church\n'
65,4,Get Into It (Yuh),Planet Her,2021,"b'Get into it, yuh (Go to church)\n'"
66,4,Get Into It (Yuh),Planet Her,2021,"b""If she ain't got a butt\n"""
67,4,Get Into It (Yuh),Planet Her,2021,"b'Fuck it, get into it, yuh\n'"
68,4,Get Into It (Yuh),Planet Her,2021,"b'(Yeah, yeah, yeah, yeah)\n'"
69,4,Get Into It (Yuh),Planet Her,2021,"b'Thank you, Nicki, I love you\n'"
70,4,Get Into It (Yuh),Planet Her,2021,b'Got that big rocket launcher!\n'
0,5,Need to Know,Planet Her,2021,b'Yeah\n'
1,5,Need to Know,Planet Her,2021,"b""Wanna know what it's like (Like)\n"""
2,5,Need to Know,Planet Her,2021,"b""Baby, show me what it's like (Like)\n"""
3,5,Need to Know,Planet Her,2021,"b""I don't really got no type (Type)\n"""
4,5,Need to Know,Planet Her,2021,b'I just wanna fuck all night\n'
5,5,Need to Know,Planet Her,2021,"b'Yeah-yeah, oh-woah-woah (Oh, ooh, mmm)\n'"
6,5,Need to Know,Planet Her,2021,"b'Baby, I need to know, mmm (Yeah, need to know)\n'"
7,5,Need to Know,Planet Her,2021,"b""I just been fantasizin' (Size)\n"""
8,5,Need to Know,Planet Her,2021,b'And we got a lotta time (Time)\n'
9,5,Need to Know,Planet Her,2021,"b'Baby, come throw the pipe (Pipe)\n'"
10,5,Need to Know,Planet Her,2021,"b""Gotta know what it's like (Like)\n"""
11,5,Need to Know,Planet Her,2021,"b'Yeah-yeah, oh-woah-woah\n'"
12,5,Need to Know,Planet Her,2021,"b'Baby, I need to know, mmm\n'"
13,5,Need to Know,Planet Her,2021,"b""What's your size? (Size)\n"""
14,5,Need to Know,Planet Her,2021,"b""Add, subtract, divide ('Vide)\n"""
15,5,Need to Know,Planet Her,2021,"b""Add, subtract, divide ('Vide)\n"""
16,5,Need to Know,Planet Her,2021,"b""Daddy don't throw no curves (Curves)\n"""
